1	a : deep , deep copper color almost like a medium colored iced tea . small off white head that quickly fades to a tiny lace . good .	00000000000000000000000000000
1	appearance : dark amber in color , nice white fluffy head , ok retention , very nice lacing .	0000000000000000000
0	a : pours a clear golden straw . it is an extremely pale yellow , with only about 1/2 finger of pure white head . the foam settles quickly on this brew .	000000000000000000000000000000000
0	a : this poured a muddy dark mahogany with no head . not the most attractive sight .	000000000000000000
0	a : this beer poured a copper red brew with a 1 inch head that disappeared very quickly . little to no lacing was present .	00000000000000000000000000
1	a : cloudy lemon / straw color with active carbonation up the middle . huge fluffy white head that lingers and lingers , leaving thick lacing down the glass .	000000000000000000000000000000
0	a : nice golden orange hue . copper highlights . appears the color of southern sweet tea when the light hits it right . fluffy head dwindles to a thin layer rather quickly . a halo of foam hangs on for the life of the beer . head retention could be better .	00000000000000000000000000000000000000000000000000000
0	a : cola colored . clean with burgundy highlights . poor carbonation , very fizzy ( like cola ) with a rapidly depleting head .	0000000000000000000000000
1	a : pitch-black beer . light brown head that pours about a half finger , but stays about a half a finger nail the whole way down . with a good amount of lacing .	00000000000000000000000000000000000
1	a : surprisingly attractive , light golden , with a billowy long lasting head	00000000000000
1	a : pours a very pale yellow with a large cap of foam after gushing out of the big mouth bottle into a pint glass . surprisingly good head retention , light spotty lacing .	00000000000000000000000000000000000
0	appearance : cant really see into the can but from what i do remember pouring into a glass , its very , very , and i mean very light , pale yellow .	000000000000000000000000000000000
0	appearance : pretty bad , even for a happoshu . head is akin to that on a diet sprite : white and so fizzy you hardly have time to notice it before it disappears . body is a weirdly glowing orangey yellow .	0000000000000000000000000000000000000000000
0	appearance : pours hazy light bronze colour , somehow the barman failed to pour this beer properly and the beerhead was overly limited , unlike what one would expect of a good belgian ale ... besides , the serving temp . was a bit too low .	00000000000000000000000000000000000000000000000
0	a : pours a half finger head of nice white colour , milky lactic cream , and restrained thickness . colour is a transparent gold . sm : cream , full expressive barley , slight bittering hops , and pleasant golden grain . a very nice aroma . moderate in strength .	0000000000000000000000000000000000000000000000000000
0	a : upon untwisting the cage , i fell into a delirious spell as the cork wooshed by my nose at breakneck yet slow-motion speeds a la the matrix . i 'm lucky to still have my sight . after the gushing subsides , this pours a mostly opaque , muddy copper . 4-finger ( yup ) head dies down to 1 , leaving lacing on the glass . as this almost killed me , i must dock it 1 whole extra point .	000000000000000000000000000000000000000000000000000000000000000000000000000000000000
0	a : pale , yellow , fizzy , highly carbonated . virtually no head and even csi would not be able to find any trace of lacing . so far , so bad .	0000000000000000000000000000000000
1	a : nice looking beer . it is dark , but not jet , black topped with a beautiful tan head . very picturesque .	0000000000000000000000000
0	appearance : white head that dissipates almost immediately . a lot of tiny bubbles rushing to the top of the pint glass . the color of the beer is a very light gold color that is transparent . i got some decent lacing on the glass .	00000000000000000000000000000000000000000000000
0	a : clear golden pour . initially a fluffy white head that dissipates quickly and leaves no lacing .	0000000000000000000
1	appearance : poured into one of the glasses from the gift pack a wonderful reddish amber . a foamy half inch head forms and eventually fades to a tight ring around the glass . lacing is patchy and sparse .	0000000000000000000000000000000000000000
1	a : when poured , this beer produces a gorgeous ruby red body and a fluffy pink head . beautiful .	000000000000000000000
1	appearance : pours out thick black and produces a three finger , thick mocha colored head with great retention . head cascades up from the netherworld . jet black body with no carbonation evident . head slowly fades to a good film and clings to the sides of the glass . a swirling wisp and a ring remain until the end leaving lots some dots of lacing down the glass . a beauty of a stout and much like the base beer , though the lacing is not quite as perfect .	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1	a : big tan head on this beer , 3-fingers worth . its frothily and fluffy like a cloud . it sits on top of a somewhat cloudy beautiful orange beer , visible carbonation though the haze .	00000000000000000000000000000000000000
1	appearance : dark brown	0000
1	appearance : this was a hazey , amber-orange beer with lots of chunks of yeast floating throughout . the cream colored head rose up big ( up and out that is ; i should pay better attention ) . it was fluffy and dense , settling down very slowly and leaving a lot of lace . the beer looked good , but it was all downhill from there .	000000000000000000000000000000000000000000000000000000000000000000000
1	appearance : the beer looked really good . amber color , on the darker side . head was a little off white and carbonation was definitely present . head dissipated pretty quickly , but left behind a faint lace .	0000000000000000000000000000000000000000
0	a : pours a clear gold yellow color with a big aired white head . medium retention and many beautiful lacings	000000000000000000000
0	appearance : pours a cloudy straw color with a modest head that fails to stick and does n't provide much lacing	000000000000000000000
0	a : pours an extra clear dark amber color ( almost orange ) with a thin white head that dissipates quickly leaving only a film on top .	0000000000000000000000000000
1	a : dark burnt orange/copper-hued beer ; bright clarity , with a nice dense cream cap with good retention . medium-high carbonation and some decent retention .	000000000000000000000000000
1	appearance : looked like an your average beer , with a very small head	00000000000000
1	a : copper-orange , fluffy head , not much retention , some lace .	00000000000000
0	a : pours a pretty clear , straw yellow body with a small , white head with no retention and lacing of great significance .	0000000000000000000000000
0	appearance : golden body , small white head , no real lacing .	0000000000000
0	appearance : the brew poured with very weak white head with barely any retention at all . color was golden/slightly amber .	0000000000000000000000
0	a : pours a ( not surprisingly ) opaque black color with a nice tan head that quickly fades to a thin ring around the perimeter of the glass . leaving no lacing behind .	00000000000000000000000000000000000
1	a : pours a dark black body with a touch of dark drown along the edges . head is fluffy dark mocha at three fingers . retention is decent and without lacing .	000000000000000000000000000000000
0	a : hazy , pretty orange/copper body with a fairly persistent two finger yellowed white head . unappealing were the 20 or so small , light colored sheet-like flecks that settled to the bottom of the glass .	00000000000000000000000000000000000000
1	a : pours a head as high as the beer . fluffy . takes its time falling . the stout is a jet black .	0000000000000000000000000
0	appearance : piss yellow in color , slight carbonation , heavy although quickly dissipating head	000000000000000
0	a : like another ba stated , this looks like urine first thing in the morning . zero head and minimal carbonation . not a good start .	0000000000000000000000000000
1	appearance : nearly black-brown body with cherry hues and a brown head .	0000000000000
1	appearance : deep brown with some thin red notes in the core . head is fluffy like a cappuccino head and tan to match .	0000000000000000000000000
0	a : pours a light golden color almost zero head whatsoever ... looks like its been sitting out on the table all afternoon	00000000000000000000000
0	a : pours a dark amber with a hint of orange , fast retreating tan head left so fast , i almost missed it . no lacing either . ar . sweet , spices , fruit , maybe a twinge of vanilla and of course alcohol are present . the sweetness reminds me of honey .	00000000000000000000000000000000000000000000000000000000
1	appearance : pale brown to amber with about one finger of off white head , head sticks around with lots of great lacing ,	000000000000000000000000
0	appearance : pitch black and thick with literally no head whatsoever ... not sure why	000000000000000
0	a : small white head . traditional golden color . a little bit hazy .	000000000000000
0	a : pours a straw yellow with a fizzy white mousse that dies away within seconds . looks as boring and unappealing as it sounds .	00000000000000000000000000
0	appearance : amber in color , hazy . great white head that laces nicely and lasts throughout	00000000000000000
0	appearance : head was a little on the weak side with very active carbonation . tast : smooth taste with citrus hues with kind of a dead end	0000000000000000000000000000
0	a : this beer looks okay but i found a little lacking with head retention . sometimes it is easy to tell a beer that was brewed in large batches .	0000000000000000000000000000000
0	a : slightly hazy , light amber color with over one finger of diminishing white foam head . scant lacing remains on the glass .	0000000000000000000000000
1	a : very dark coal color with a very thin creamy tan head . small amount of lace around the edges	000000000000000000000
1	a : poured into a traditional pint glass . appeared a clear , orangy-copper with a heavy amount of white and big bubbled foamy head , which remained well .	000000000000000000000000000000
1	a : pours a nice orange hue that is gently hazy with two fingers of ample , pure white head that lingers beautifully and leaves a nice amount of lacing on the glass	000000000000000000000000000000000
1	appearance : caramel in color , fantastic head , great retention .	000000000000
1	a : pours dark and heavy with a thick head .	00000000000
0	a : extremely pale , golden yellow color with a one and half finger head of frothy white foam that settles to a bubbly coating , leaving minimal soapy lace . bud light with better head retention ?	00000000000000000000000000000000000000
0	appearance : very light amber , translucent . two-finger head of foam that lingers .	000000000000000
1	a : dark , black coffee , espresso-crema colored head , good lacing on the sides of the glass .	00000000000000000000
1	a : pours an opaque dark brown body in the glass with two fingers of fluffy , long-lasting , light mocha head . i 'm inclined to think it 's infected , seeing how ... . robustly carbonated it is .	00000000000000000000000000000000000000000
1	a : clear dark copper body and a cappuccino colored head with good lacing .	000000000000000
0	a : orange copper body , extremely clear with an obvious filtered nature to it . no head , no retention , no lacing . talk about a lackluster looking beer , this is just pretty sad .	00000000000000000000000000000000000000
0	appearance : lager appearance , not red	0000000
1	a : pale , filtered beer . carbonation produces a good but short lived head .	0000000000000000
1	a : pours a deep hazy murky shade of brown , with a big luscious light brown head on top , thick and full , two fingers worth . picture-perfect .	0000000000000000000000000000000
1	a : clear pale golden/orange amber color with lots of visible bubbles quickly rising to the top . head formation is a nice fluffy 1+ finger 's worth , off white in color . good retention and tons of sticky white lacing all around - sierra nevada is good at that .	0000000000000000000000000000000000000000000000000000
